Name,Price,Condition,Shipping
Dell Latitude LAPTOP 14” HD NOTEBOOK PC i5-8265U UP TO 32GB 2TB M.2 WIN 10 OR 11,EUR 163.09 to EUR 369.00,Pre-Owned,+EUR 43.17 shipping
"HP EliteBook 735 G5 AMD RYZEN 7 Pro 2.2GHz 13.3"" 1920x1080 16GB RAM 256GB SSD",EUR 159.45,Pre-Owned,+EUR 37.84 shipping
"HP EliteBook 745 G4 Laptop PC Computer 14"" AMD PRO A10 8GB RAM 500GB Windows 10",EUR 102.23,Very Good - Refurbished,+EUR 38.82 shipping
"SGIN 15.6"""" Laptop Intel Celeron 2.8GHz 4GB Memory 128GB eMMC HDMI Silver",EUR 179.00,Brand New,+EUR 10.00 shipping
"Dell Inspiron 14 7440 14"" Touch Intel® Core™ 7 150U 512 GB SSD 16 GB DDR5",EUR 865.56,Brand New,+EUR 63.63 shipping
"Dell Latitude 7200 2-in-1 LTE i5-8365U 8GB 256GB Win 11 Pro 12.3"" SET",EUR 299.99,Pre-Owned,+EUR 9.90 shipping
Lenovo ThinkPad L390 i5-8265U - 4GB RAM - 256GB SSD - Win 11 Pro - D Grade,EUR 68.33,Pre-Owned,+EUR 37.72 shipping
"HP Elitebook 830 G6, i5-8365U, 1.6GHz,16GB Memory,256GB NVMe,13.3"" Full HD, W11",EUR 189.99,Pre-Owned,+EUR 15.00 shipping
"ASUS Vivobook 16""  WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",EUR 464.66,Brand New,+EUR 54.94 shipping
"CHEAP Fujitsu 14"" Laptop Core i3 8Gb 16GB 120Gb 480Gb SSD Windows 10 Webcam",EUR 83.40 to EUR 178.73,Pre-Owned,+EUR 30.47 shipping estimate
"Microsoft Surface Pro 9 256GB SSD, Intel Core i5, 8GB Ram, WIN 11H, Black",EUR 729.00,Pre-Owned,+EUR 18.00 shipping
Lenovo ThinkPad T490 i5 8365u 16GB 512GB SSD Win11 Pro Webcam #91A,EUR 209.00,Pre-Owned,+EUR 17.99 shipping
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4050",EUR 637.78,Brand New,+EUR 63.27 shipping
New ListingDELL LATITUDE 5424 RUGGED i5 8350U 1.70GHz 8 GB RAM NO HDD/SSD  NO OS SKU 6815,EUR 136.66,Pre-Owned,+EUR 44.28 shipping
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",EUR 546.66,Brand New,+EUR 63.15 shipping
